Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Members/Index_cshtml.g.cs,105,4,T:System.Uri,,,,,"string CfFilterQs(int? excludeId = null) => string.Join("""",          cfFilters.Where(kv => excludeId == null || kv.Key != $""filterCf_{excludeId}"")                   .Select(kv => $""&{kv.Key}={Uri.EscapeDataString(kv.Value ?? """")}"")      );"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Members/Index_cshtml.g.cs,99,4,T:System.Uri,,,,,var sortByEncoded     = Uri.EscapeDataString(sortBy ?? string.Empty);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Members/Index_cshtml.g.cs,98,4,T:System.Uri,,,,,var searchEncoded     = Uri.EscapeDataString(search ?? string.Empty);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Pages/Members/Index_cshtml.g.cs,97,4,T:System.Uri,,,,,var filterRoleEncoded = Uri.EscapeDataString(filterRole ?? string.Empty);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,Services\TotpService.cs,27,42,T:System.Uri,,,,,Uri.EscapeDataString(Issuer)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,Services\TotpService.cs,26,64,T:System.Uri,,,,,Uri.EscapeDataString(username)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,Services\TotpService.cs,26,33,T:System.Uri,,,,,Uri.EscapeDataString(Issuer)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AdminMembers.csproj,File,Services\EmailService.cs,43,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"var useSsl  = _configuration.GetValue<bool>(""Email:UseSsl"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,Services\EmailService.cs,19,12,T:System.Uri,,,,,"var resetUrl = $""{appBaseUrl}/ResetPassword?token={Uri.EscapeDataString(resetToken)}&email={Uri.EscapeDataString(toEmail)}"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AdminMembers.csproj,File,Services\EmailService.cs,19,12,T:System.Uri,,,,,"var resetUrl = $""{appBaseUrl}/ResetPassword?token={Uri.EscapeDataString(resetToken)}&email={Uri.EscapeDataString(toEmail)}"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AdminMembers.csproj,File,Services\AuthService.cs,468,12,T:System.Security.Cryptography.Rfc2898DeriveBytes,,,,,"var inputHash = System.Security.Cryptography.Rfc2898DeriveBytes.Pbkdf2(                  password, salt, 100_000,                  System.Security.Cryptography.HashAlgorithmName.SHA512, 64);"
